A	2963	2963	0	A
B	2963	2963	0	B
C	2963	2963	0	C
D	2963	2963	0	D
E	2963	2963	0	E
F	2963	2963	0	F
G	2963	2963	0	G
H	2963	2963	0	H
I	2963	2963	0	I
J	2963	2963	0	J
K	2963	2963	0	K
L	2963	2963	0	L
M	2963	2963	0	M
N	2963	2963	0	N
O	2963	2963	0	O
P	2963	2963	0	P
Q	2963	2963	0	Q
R	2963	2963	0	R
S	2963	2963	0	S
T	2963	2963	0	T
U	2963	2963	0	U
V	2963	2963	0	V
W	2963	2963	0	W
X	2963	2963	0	X
Y	2963	2963	0	Y
Z	2963	2963	0	Z
a	2963	2963	0	a
b	2963	2963	0	b
c	2963	2963	0	c
d	2963	2963	0	d
e	2963	2963	0	e
f	2963	2963	0	f
g	2963	2963	0	g
h	2963	2963	0	h
i	2963	2963	0	i
j	2963	2963	0	j
k	2963	2963	0	k
l	2963	2963	0	l
m	2963	2963	0	m
n	2963	2963	0	n
o	2963	2963	0	o
p	2963	2963	0	p
q	2963	2963	0	q
r	2963	2963	0	r
s	2963	2963	0	s
t	2963	2963	0	t
u	2963	2963	0	u
v	2963	2963	0	v
w	2963	2963	0	w
x	2963	2963	0	x
y	2963	2963	0	y
z	2963	2963	0	z
。	2965	2965	0	。
、	2968	2968	0	、
！	2965	2965	0	！
？	2965	2965	0	？
（	2967	2967	0	（
）	2966	2966	0	）
(	2967	2967	0	(
)	2966	2966	0	)
[	2967	2967	0	[
]	2966	2966	0	]
{	2967	2967	0	{
}	2966	2966	0	}
「	2967	2967	0	「
」	2966	2966	0	」
